Date,Brand-Names,Product-Description,Product-Types,Recall-Reason-Description,Company-Name,Terminated Recall
12/27/2021,Aplenty,Rotini with Plant based Bolognese Meal Kit,"Food & Beverages, Allergens",Undeclared Milk,"SEVIROLI FOODS, INC.",Terminated
12/28/2021,Sienna,Chocolate Decadent Brownies,Food & Beverages,Undeclared Tree Nut (Pecan),Dianne's Fine Desserts,Terminated
01/12/2022,Viona,Metformin Hydrochloride Extended-Release Tablets,Drugs,N-Nitrosodimethylamine (NDMA) Impurity,"Viona Pharmaceuticals, Inc.",Terminated
12/29/2021,Frozen Pacific Fusion Brand,Tuna steaks,Food & Beverages,Elevated levels of histamine,"Relish Foods, Inc.",Terminated
12/29/2021,Delizza,Cream Puffs,Food & Beverages,Possible presence of small metal fragements.,"Poppies International, Inc.",
12/29/2021,HAIFA SMOKED FISH,TURBOT COLD SMOKED,Food & Beverages,Potential for Listeria monocytogenes,HAIFA SMOKED FISH,
12/30/2021,Taro,Clobetasol Propionate,Drugs,Presence of Ralstonia pickettii bacteria,"Taro Pharmaceuticals USA, Inc.",
01/03/2022,Renaissance Food Group,Chicken Salad Croissants,Food & Beverages,Due to undeclared fish,"GHGA, LLC",Terminated
01/04/2022,Pure Being,Advent Calendars for Cats and Dogs,"Animal & Veterinary, Food & Beverages, Pet Food",Potential choking hazard,ALDI,Terminated
01/06/2022,GAT Sport Jetfuel Diuretic,Diuretic,Food & Beverages,May contain undeclared milk,"World Health Products, LLC",Terminated
01/07/2022,Moor Herbs,Angel Formula Infant formula,Food & Beverages,Product did not meet specific nutrition and labeling requirements for infant formula,Moor Herbs,
01/07/2022,Dole,Salads,Food & Beverages,Due to a possible health risk from Listeria monocytogenes,"Dole Fresh Vegetables, Inc.",Terminated
01/11/2022,Taste of Inspirations,Cream Puffs,Food & Beverages,Possible presence of small metal fragements.,"Poppies International, Inc.",
01/12/2022,Oscor,Destino Twist 14F model DST1405525 & Guidestar 14F model D141103 steerable guiding sheath,Medical Devices,Hub cap and seal on the proximal end of the device handle may detach during use,Oscor Inc.,
01/12/2022,AVpak,Senna Syrup 5mL,Drugs,Potential microbial contamination,Lohxa LLC,Terminated
01/14/2022,Lily’s,Peppermint Flavor Baking Chips,Food & Beverages,May contain undeclared soy lecithin,Lily’s Sweets,Terminated
01/19/2022,Semglee,"Insulin glargine injection), 100 units/ml (U-100), 3mL prefilled pens",Drugs,Missing Label,Mylan Pharmaceutical Inc.,
01/19/2022,Lidl,Frozen Chopped Spinach,Food & Beverages,Listeria Monocytogenes,Frozen Food Development,Terminated
01/19/2022,Amy’s,Amy’s Vegan Organic Rice Mac & Cheese,"Food & Beverages, Allergens, Organic Food / Home Grown",Undeclared Milk,Amy’s Kitchen,Terminated
01/27/2022,RevitaDerm,Wound Care Gel,Drugs,May be contaminated with Bacillus cereus,Blaine Labs Company,
01/27/2022,Siren,Birthday Cake Bites,"Food & Beverages, Allergens",Undeclared Cashews and Almond Butter,Siren Snacks,Terminated
01/28/2022,Auromedics,"Polymyxin B for Injection USP, 500,000 Units/Vial",Drugs,Presence of Particulate Matter,AuroMedics Pharma LLC,
01/31/2022,Hard Dawn,Hard Dawn Rise and Shine capsules,Drugs,Undeclared Tadalafil,"Esupplementsales, LLC",
01/31/2022,Wish-Bone,Salad dressings,Food & Beverages,Undeclared egg,"Conagra Brands, Inc.",
02/03/2022,El Chavito®,Saladitos Dried Salted Plums and Saladitos Enchilados Salted Plums With Chili,Food & Beverages,potential to be contaminated with lead,"EL CHAVITO, INC.",
02/04/2022,MegMan,MegMan Performance Booster capsules,Drugs,Undeclared Tadalafil,Junp LLC,
02/04/2022,bellavista™,ventilators,Medical Devices,Ventilators can cease ventilation and generate a technical failure alarm 305,Vyaire Medical,
02/04/2022,Spice and Chili,Saladitos Dried Salted Plums With Chili,Food & Beverages,potential to be contaminated with lead,A&E Corrales LLC,
02/04/2022,"SD Biosensor, Inc.",STANDARD Q COVID-19 Ag Home Test,Medical Devices,illegally imported into the United States,"SD Biosensor, Inc.",
02/04/2022,Golden Medal Mushroom Inc.,Enoki Mushrooms,"Food & Beverages, Foodborne Illness, Produce",Listeria Monocytogenes,Golden Medal Mushroom Inc.,
02/04/2022,La Fiesta Food Products Inc.,Saladitos Con Chile(Salted Plums with Chili),Food & Beverages,potential to be contaminated with lead,La Fiesta Food Products Inc.,
10/29/2021,Dole & others,garden salad,"Food & Beverages, Foodborne Illness, Produce",Potential contamination with Listeria monocytogenes,"Dole Fresh Vegetables, Inc.",Terminated
10/29/2021,MaryRuth’s,liquid probiotic for infants,Food & Beverages,Potential contamination with Pseudomonas aeruginosa,MaryRuth’s,
10/31/2021,Tastykake,cupcakes,Food & Beverages,Potential presence of tiny fragments of metal mesh wire,"Flowers Foods, Inc.",Terminated
10/23/2021,Taylor Farms,Mushroom Stir Fry,Food & Beverages,Listeria monocytogenes,Taylor Farms,
11/01/2021,Ukrop's,Green Salads and Chicken Caesar Wrap,Food & Beverages,May contain small pieces of brown plastic,Ukrop’s Homestyle Foods,Terminated
11/02/2021,Herbal Doctor Brand,Angelicae Sinensis,Food & Beverages,May contain elevated levels of lead and cadmium,Murray Int’l Trading,
11/04/2021,Tastykake,Cupcakes and Krimpets,Food & Beverages,May contain metal mesh wire,"Flowers Foods, Inc.",
11/04/2021,Pier-C Produce,Whole White Onions,Food & Beverages,Potential Salmonella,Pier-C Produce Inc,
11/05/2021,Fisherman’s Wharf,"Jumbo Cooked Shrimp, Frozen",Food & Beverages,Possible Listeria,Southeastern Grocers,Terminated
11/09/2021,"Etedream, Vital Force, Raw, Boba Origin, Steel",Dietary Supplement Protein Powder,Food & Beverages,"Undeclared wheat, milk, soy and/or coconut","Nutracap Holdings, LLC",
11/11/2021,Ellenos,Mango Greek Yogurt,"Food & Beverages, Allergens, Yogurt/Yogurt Product",Undeclared Egg,Ellenos Real Greek Yogurt,
11/12/2021,"Aqua Nova, North Coast, Tony’s",Salmon Lox,Food & Beverages,Listeria monocytogenes contamination,Oregon Lox Company,Terminated
11/12/2021,Multiple brands,Dietary Supplements,"Food & Beverages, Allergens",Undeclared Milk,"Nutracap Holdings, LLC",
11/15/2021,Alsum Farms & Produce Inc.,"Whole yellow, white, red onions",Food & Beverages,Potential to be contaminated with Salmonella,"Alsum Farms & Produce, Inc.",Terminated
11/15/2021,"SterRx, LLC",SterRx products intended to be sterile,Drugs,Lack of sterility assurance,"SterRx, LLC",
11/15/2021,Green Giant Fresh,Whole yellow and white onions,Food & Beverages,Potential to be contaminated with Salmonella,Potandon Produce L.L.C,
11/16/2021,"Salma, Casablanca",Curry powder,"Food & Beverages, Allergens, Spices, Flavors &  Salts",Undeclared peanuts,Spice N’ More Corp.,
11/17/2021,Mountain Meadow Herbs,Candida Flush,Food & Beverages,Due to exploding bottle risk,Mountain Meadow Herbs,Terminated
11/17/2021,Odor-Eaters®,Oder Eaters spray products,"Cosmetics, Drugs, Deodorant",Due to the presence of benzene,"Odor-Eaters®, owned by Blistex Inc.",
11/19/2021,American Screening,Hand Sanitizer,Drugs,Hand sanitizer is packaged in 8 oz. containers that resemble water bottles posing a risk of consumption,American Screening LLC,
11/19/2021,Wilbur,Dark Chocolate Triple Covered Malted Milk Balls,Food & Beverages,Undeclared peanuts,Cargill,Terminated
11/22/2021,Sagent,Levetiracetam Injection,Drugs,Lack of sterility assurance,"Sagent Pharmaceuticals, Inc.",
11/22/2021,The Spice House,Sichuan Chili BBQ Rub,Food & Beverages,Undeclared sesame,The Spice House,Terminated
11/22/2021,TaDah!,Spicy Brown Sugar Harissa Hummus,"Food & Beverages, Allergens, Organic Food / Home Grown",Undeclared milk allergen,Tadah! Foods,Terminated
11/22/2021,"Country Time, Tang, Kool-Aid, Arizona Tea","Country Time Lemonade, Tang, Arizona Tea powdered beverages and Kool-Aid powdered beverage products",Food & Beverages,Potential presence of glass and metal,Kraft Heinz,
11/23/2021,Wel-Pac,Shrimp Powdered Soup Stock,"Food & Beverages, Allergens, Soup","Undeclared fish allergen (bonito, sardine, tuna)","JFC International, Inc.",Terminated
11/23/2021,"Old Spice, Secret",Old Spice and Secret Aerosol Sprays,"Cosmetics, Drugs",Due to the presence of benzene,The Proctor & Gamble Company,
11/23/2021,H-E-B,H-E-B Tomato Basil Soup,Food & Beverages,Potential presence of glass,Fischer and Wieser Specialty Foods,
11/24/2021,TJ Farms Select,Frozen Cauliflower,Food & Beverages,Possible Listeria monocytogenes contamination,Flagship Food Group,Terminated
11/24/2021,Birds Eye,Frozen Broccoli Tots,Food & Beverages,Potential presence of small rocks and metal,"Conagra Brands, Inc.",
11/30/2021,Arrow,Arrow-Trerotola™ Over-The-Wire PTD® Kit Percutaneous Thrombolytic Device: 7FR,Medical Devices,Inner lumen may detach from the device’s basket,Teleflex Incorporated,
11/30/2021,Al Kanater,Tahini,Food & Beverages,Salmonella,"International Golden Foods, Inc.",Terminated
12/01/2021,LivaOne and BioLifePet,Probiotics,"Animal & Veterinary, Food & Beverages",Pseudomonas aeruginosa,"Liva Global, Inc.",Terminated
12/02/2021,Sandoz,Enoxaparin Sodium Injection,Drugs,Exposure to high temperatures may have impacted product effectiveness.,"Sandoz, Inc.",
12/03/2021,BUBS Naturals,Fountain of Youth Formula,Food & Beverages,Undeclared milk,Bubs Naturals,Terminated
12/03/2021,Gilead,Veklury® (remdesivir 100 mg for injection),Drugs,Presence of glass particulates,Gilead Sciences Inc.,Terminated
12/07/2021,"Teligent Pharma, Inc.","Lidocaine HCl Topical Solution USP 4%, 50ml",Drugs,Super potent,"Teligent Pharma, Inc.",
12/07/2021,"Edge Pharma, LLC","All drugs compounded at Edge Pharma, LLC",Drugs,Process issues that could lead to a lack of sterility assurance for products intended to be sterile and could impact the safety and quality of non-sterile products,"Edge Pharma, LLC",
12/07/2021,Dakota Toms,Chicken Salad Croissant,Food & Beverages,Undeclared egg and milk,Dakota Toms,
12/10/2021,GODAVARI,Dried Apricots,Food & Beverages,Undeclared Sulfites,Bokhary Foods Inc.,
12/10/2021,Rompe Pecho,Liquid Cold & Flu symptom relief,Drugs,Microbial contamination,"Efficient Laboratories, Inc",Terminated
12/13/2021,Howling Cow,Howling Cow Butter Almond Ice Cream Pints,Food & Beverages,"Undeclared Soy, Wheat",Maryland & Virginia Milk Producers Cooperative Association,
12/17/2021,"Pantene, Aussie, Herbal Essences, Waterl",aerosol dry conditioner spray products and aerosol dry shampoo spray products,Cosmetics,Due to the presence of benzene detected,The Procter & Gamble Company,
12/18/2021,Bosket Bread,Bread products,Food & Beverages,"Undeclared soy, wheat, milk, sesame, or egg.",Bosket Bread Company,Terminated
12/20/2021,Nature’s Own,Honey Wheat Bread (Single and 2 Pack),Food & Beverages,Undeclared Milk,"Flowers Foods, Inc.",
04/02/2022,Back to Nature,Cheese Flavored Crackers,Food & Beverages,Undeclared Milk and Egg,B&G Foods,Terminated
04/07/2022,Whole Foods Market 365,Organic Creamy Caesar Dressing,Food & Beverages,Undeclared soy and wheat,"Van Law Food Products, Inc.",Terminated
04/07/2022,Carbquik,Double Chocolate Chunk Mug Cake,Food & Beverages,Undeclared milk,"Tova Industries, LLC",Terminated
04/12/2022,Kinder,Multiple Products,"Food & Beverages, Foodborne Illness, Snack Food Item",Salmonella,"Ferrero USA, Inc.",Terminated
04/21/2022,Turkey Hill,Chocolate Marshmallow Premium Ice Cream,"Food & Beverages, Allergens, Ice Cream/Frozen Dairy",Undeclared peanuts,Turkey Hill Dairy,
04/21/2022,Yes!,Enoki Mushrooms,"Food & Beverages, Foodborne Illness, Produce",Listeria monocytogenes contamination,T Fresh Company,Terminated
04/21/2022,"Produce Packaging, Inc.",Red Curry Grain Bowl and Barcelona Vinaigrette Grain Bowl,"Food & Beverages, Allergens, Prepared Food",Undeclared wheat,"Produce Packaging, Inc.",Terminated
05/24/2022,Coblentz Chocolate Company,Various chocolate products containing peanut butter,"Food & Beverages, Foodborne Illness, Peanut Butter",Salmonella,Coblentz Chocolate Company,Terminated
05/24/2022,Multiple brand names,Store-prepared items containing peanut butter,"Food & Beverages, Foodborne Illness, Peanut Butter",Salmonella,Albertsons Companies,Terminated
05/25/2022,Multiple brand names,Fresh cut fruit and vegetable products,Food & Beverages,Salmonella,Del Monte,Terminated
05/25/2022,Walmart and Fudgeamentals,Fudge,"Food & Beverages, Foodborne Illness, Peanut Butter",Salmonella,Fudgeamentals,
05/25/2022,No brand name,Yellow Flesh Peaches,"Food & Beverages, Foodborne Illness, Fruit/Fruit Product",Listeria monocytogenes,Brookshire Grocery Company,
10/27/2021,Bobo’s,Almond butter bars,Food & Beverages,Contain undeclared peanuts,Bobo’s,Terminated
10/27/2021,Cardinal Health’s Monoject™,Flush Prefilled Saline Syringes,Medical Devices,Potential for the plunger to draw back after the air has been expelled and reintroduced air back into the syringe,Windstone Medical Packaging dba Aligned Medical Solutions,
10/27/2021,Purina,"Supplement feed for cattle livestock and for wildlife such as deer, antelope, and wild sheep","Animal & Veterinary, Livestock Feed",potential of elevated urea levels,Purina Animal Nutrition,
11/03/2022,NESTLÉ® TOLL HOUSE®,Edible Chocolate Chip Cookie Dough,Food & Beverages,Potential for Soft Plastic Film,Nestle USA,Terminated
11/04/2022,Gibeck® and Iso-Gard®,Bacterial and viral filters,Medical Devices,Filter may split or detach during use,Teleflex Incorporated,
11/05/2022,Insulet Corporation Omnipod DASH,Personal Diabetes Managers,Medical Devices,"Battery issue: battery swelling, leakage, and in rare cases, extreme overheating, which has resulted in reports of fire.",Insulet Corporation,
11/07/2022,Adam’s Polishes,Hand sanitizer,Drugs,Presence of methanol,"Adam’s Polishes, LLC",
11/07/2022,Gamesa,Arcoiris Marshmallow Cookies,Food & Beverages,Potential presence of Salmonella,Comercializadora PepsiCo S. de R.L. de C.V.,Terminated
11/08/2022,Giant,Smoked Salmon,Food & Beverages,Potential Listeria monocytogenes contamination,"Seven Seas International USA, LLC",
11/14/2022,Big Sky Bread Company,Chocolate Chunk Granola and Chocolate Chunk Peanut Butter Chip Granola,Food & Beverages,Undeclared milk,Big Sky Bread Company,Terminated
11/15/2022,Insulet Corporation Omnipod,Automated Insulin Delivery System,Medical Devices,Issue with the Omnipod 5 Controller charging port and cable,Insulet Corporation,
11/17/2022,Fudgeamentals,Chocolate fudge bites,"Food & Beverages, Allergens, Chocolate/Cocoa Product",Undeclared walnuts,Fudgeamentals,Terminated
11/17/2022,Green Day Produce,Enoki Mushrooms,Food & Beverages,Potential to be contaminated with Listeria Monocytogenes,Green Day Produce,Terminated
11/17/2022,Healthy Sense and People’s Choice,Daily multi vitamin with Iron and Women’s daily vitamin with iron,Food & Beverages,"Due to Vitamin A, B12, C, E and Pantothenic Acid being lower than declared",Mason Vitamins Inc.,
11/18/2022,Phil’s Power Pancake,"Pancakes in 5 varieties (mango, raspberry, cranberry, dates, chocolate chip hempseed",Food & Beverages,Undeclared wheat,Phil’s Power Pancake,Terminated
12/15/2022,Power Life,High Impact Plant Protein,Food & Beverages,Undeclared Milk,THGH Partners LLC,Terminated
12/15/2022,World Market,Pepper Collection Gift Set,Food & Beverages,Mold (Aspergillus brasiliensis) and Ochratoxin A contamination,Something South African LLC,Terminated
12/16/2022,HEB TEXAS PETS,HEB TEXAS PETS Indoor Complete Dry Cat Food,"Animal & Veterinary, Food & Beverages",Potential Salmonella contamination,TFP Nutrition,Terminated
12/16/2022,Top of the Rockies,Alfalfa Cubes,"Animal & Veterinary, Livestock Feed",Potential to be contaminated with Clostridium botulinum,Manzanola Feeds,
12/21/2022,Lupin,Quinapril 20 and 40 mg tablets,Drugs,"Presence of nitrosamine impurity, N-Nitroso-Quinapril",Lupin Pharmaceuticals Inc.,
12/21/2022,Alpha,Frozen Burritos,Food & Beverages,Undeclared Milk,The Miso Brothers Inc,
12/22/2022,True Goodness,Plain Yogurt Alternative,Food & Beverages,Undeclared Tree Nuts,Meijer,Terminated
12/23/2022,Wegmans Organic,"Microgreens, sweet pea leaves, cat grass",Food & Beverages,Potential presence of Salmonella,"Wegmans Food Markets, Inc.",Terminated
12/23/2022,Melissa’s,Pasta Para Duros,Food & Beverages,Undeclared Wheat,"World Variety Produce, Inc.",Terminated
05/31/2023,OnYums,OnYum Onion Flavored Rings,"Food & Beverages, Allergens, Snack Food Item",Undeclared Wheat,Rudolph Foods,
06/08/2023,Regal Gourmet Snacks,Milk Chocolate Raisins,"Food & Beverages, Allergens, Snack Food Item",Undeclared peanuts.,"Regal Health Food International, Inc.",
05/27/2022,Multiple brand names,Snack Packs and Sandwiches,"Food & Beverages, Foodborne Illness, Peanut Butter",Salmonella,A G Specialty Foods,Terminated
05/27/2022,Alterna,Leave-in heat protection spray,Cosmetics,Potential to be contaminated with Burkholderia cepacia complex.,Henkel Corp.,
05/27/2022,Botanic Choice,Prune & Senna Softgels,Dietary Supplements,Undeclared peanuts,"Indiana Botanic Gardens, Inc.",Terminated
05/27/2022,Rich’s,Peanut butter cups,"Food & Beverages, Foodborne Illness, Peanut Butter",Salmonella,"Albanese Confectionery Group, Inc.",
05/28/2022,Trader Joe’s,Lemony Arugula Basil Salad Kit,Food & Beverages,Undeclared wheat and eggs,Taylor Farms Retail,Terminated
05/28/2022,Giant Eagle,Baked items containing peanut butter,Food & Beverages,Salmonella,Giant Eagle,
05/28/2022,Quick Chek,Apple and Peanut Butter Snack Trays,Food & Beverages,Salmonella,Safeway Fresh Foods,
06/01/2022,"Paris Brothers, Cottonwood River, D’amir, more",Cheese products,"Food & Beverages, Foodborne Illness, Cheese/Cheese Product",Potential to be contaminated with Listeria monocytogenes,"Paris Brothers, Inc.",Terminated
05/28/2022,Artri Ajo King,Joint supplements,"Dietary Supplements, Drugs",Contains diclofenac,Walmart Inc.,
06/02/2022,Leonard Novelty Bakery,Carrot cake squares,Food & Beverages,Undeclared walnuts,Leonard Novelty Bakery,Terminated
06/02/2022,Volara,Volara System (home care),Medical Devices,Possible risk of oxygen desaturation,Baxter International Inc.,
06/03/2022,Irvington Seafood,"Crabmeat: Jumbo, Lump, Finger, and Claw meat",Food & Beverages,Potential to be contaminated with Listeria monocytogenes,Irvington Seafood Inc.,Terminated
06/06/2022,Wilton,Rainbow Chip Crunch Sprinkles and Rainbow Sprinkles Mix,Food & Beverages,Undeclared Milk,"Wilton Industries, Inc.",
06/06/2022,Taharka Brothers,Peanut Butter Cup Ice Cream,Food & Beverages,Salmonella,Taharka Brothers Ice Cream,
06/07/2022,Allergy Bee Gone for Kids,Nasal Swab Remedy,Drugs,Product contains elevated levels of Bacillus cereus,Buzzagogo Inc.,Terminated
06/07/2022,Fresh Garden Highway,Protein Power Snack,"Food & Beverages, Foodborne Illness, Peanut Butter",Salmonella,F&S Fresh Foods,
06/08/2022,Major,"Milk of Magnesia, Magnisium Hydroxide/Aluminum Hydroxide/Simethicone Oral Suspension",Drugs,Due to microbial contamination,"Plastikon Healthcare, LLC",
06/08/2022,Prairie City Bakery,Peanut Butter Chocolate Chip Ooey Gooey Butter Cake,Food & Beverages,Due to potential for Salmonella contamination,Prairie City Bakery,
06/09/2022,Gourmondo Co.,Asparagus & Feta Sandwiches,Food & Beverages,Undeclared eggs,Gourmondo Co.,Terminated
06/14/2022,Built,Protein Bar – Banana Cream Pie Puffs,Food & Beverages,Potential Pathogenic E. Coli,"Built Brands, LLC",Terminated
06/14/2022,Arti King,Artri King Reforzado con Ortiga y Omega 3,Drugs,Undeclared Diclofenac and Dexamethasone,Latin Foods Market,
06/15/2022,"Ho King, Giai Phat",Fish and Shrimp Balls and Cakes,"Food & Beverages, Allergens, Fish",Undeclared Egg,888 Food Company,Terminated
06/18/2022,Freshpet,Freshpet Select Fresh From the Kitchen Home Cooked Chicken Recipe,"Animal & Veterinary, Food & Beverages",Potential Salmonella contamination,Freshpet Inc.,Terminated
06/22/2022,CVS Health,"Magnesium Citrate Saline Laxative Oral Solution, Lemon Flavor",Drugs,Microbial contamination with Gluconacetobacter liquefaciens,"Vi-Jon, LLC",
06/22/2022,BD,"Intraosseous Needle Set Kits, Intraosseous Manual Driver Kits, Intraosseous Powered Drivers",Medical Devices,Product issues may result in delays in care due to limited or non-functioning intraosseous access or could also lead to needlestick injuries,BD,
06/23/2022,Daily Harvest,French Lentil + Leek Crumbles,"Food & Beverages, Foodborne Illness, Vegetable Protein Product",Gastrointestinal illness and potential liver function issues,Daily Harvest,
06/29/2022,Bryant Ranch Prepack Inc.,Morphine Sulfate 30 mg Extended-Release tablets,Drugs,Incorrect labeling,Bryant Ranch Prepack Inc.,
08/03/2022,Launch Sequence,Launch Sequence Aphrodisia and Euphoria Capsules,Drugs,Contain Tadalafil,"Loud Muscle Science, LLC",Terminated
06/30/2022,Little Bear,Whole Vidalia onions,Food & Beverages,Potential to be contaminated with Listeria monocytogenes,A&M Farms,Terminated
07/01/2022,Panera at Home,Southwest Corn Chowder,"Food & Beverages, Allergens, Soup",Undeclared wheat allergen,Blount Fine Foods,
07/03/2022,Natreve,Vegan Protein Powder French Vanilla Wafer Sundae flavor,Food & Beverages,Undeclared milk,Natreve,Terminated
07/05/2022,Favorite Day,Lavender Shortbread Cookies,"Food & Beverages, Allergens, Bakery Product/Mix",Potential for Undeclared Soy or Eggs,J&M Foods,
07/06/2022,Mylan Pharmaceuticals Inc.,Insulin Glargine (Insulin glargine-yfgn) Injection Pens,Drugs,Potential for the label to be missing on some pens.,Mylan Pharmaceuticals Inc.,
07/06/2022,Primal Pet Foods Inc.,Raw Frozen Primal Patties for Dogs Beef Formula,"Animal & Veterinary, Pet Food",Potential Listeria monocytogenes,Primal Pet Foods Inc.,Terminated
07/06/2022,"Bumble Bee Foods, LLC",Smoked Clams,"Food & Beverages, Shellfish",Contains Per- and polyfluoroalkyl substances (PFAS),"Bumble Bee Foods, LLC",
07/08/2022,"Hy-Vee, Inc. and Mealtime",Potato Salad,Food & Beverages,Presumptive positive microbial test,"Hy-Vee, Inc.",Terminated
07/12/2022,Tovala,Gochujang-Glazed Salmon and Pork Bowls,Food & Beverages,Undeclared peanuts,Tovala,
07/12/2022,Enjoy Life,Baked snacks,Food & Beverages,Product may contain hard plastic pieces,"Enjoy Life Natural Brands, LLC",
07/12/2022,"Beg & Barker, Billo’s Best Friend, and Green Coast Pets",Chicken dog treats,Animal & Veterinary,Salmonella,Stormberg Foods,
07/13/2022,Big Olaf,Ice cream,Food & Beverages,Listeria monocytogenes,"Big Olaf Creamery, LLC",Terminated
07/13/2022,Belfonte,Chocolate to Die For Premium Ice Cream,"Food & Beverages, Allergens, Ice Cream/Frozen Dairy",Undeclared peanuts,Belfonte Dairy,
07/13/2022,Hospira,"Propofol Injection Emulsion, USP",Drugs,Potential presence of visible particulate,"Hospira Inc, A Pfizer Company",
07/13/2022,Kingdom Honey,Royal Honey,Food & Beverages,Undeclared Sildenafil,Shopaax.com,
07/15/2022,Multiple brand names,"Magnesium Citrate Saline Laxative Oral Solution, Lemon Flavor",Drugs,Microbial contamination with Gluconacetobacter liquefaciens,"Vi-Jon, LLC",
07/15/2022,Crown Prince,Smoked Baby Clams in Olive Oil,Food & Beverages,Detectable levels of per-and polyfluoroalkyl substances (PFAS),Crown Prince,Terminated
07/14/2022,Natierra,Freeze Dried Blueberry,Food & Beverages,Freeze Dried Blueberry,BrandStorm Inc.,Terminated
09/29/2022,The Chai Box,CHAI CONCENTRATE MIX  AND  CHAI CONCENTRATE UNSWEETENED MIX,Food & Beverages,Potential under-processing which may lead to Clostridium botulinum contamination.,The Chai Box,Terminated
09/29/2022,"Golden State Medical Supply, Incorporated","Clopidogrel 75mg Tablets, Atenolol 25mg Tablets",Drugs,Due to Label Mix-up,"Golden State Medical Supply, Incorporated",
09/30/2022,Multiple,Brie and Camembert Cheeses,Food & Beverages,Listeria monocytogenes,"Old Europe Cheese, Inc.",Terminated
09/30/2022,Zerto Fontal,"“Zerto Fontal”, Cheese",Food & Beverages,Product labeling fails to declare eggs,Whole Foods,
10/04/2022,Saint Louis,Brie wedges and variable weights,"Food & Beverages, Foodborne Illness, Cheese/Cheese Product",Listeria monocytogenes,Swiss American,Terminated
09/30/2022,Diana’s,"Milk Chocolate Banana Babies, 10.5 oz",Food & Beverages,Undeclared Peanut,"Diana’s Bananas, LLC",
10/05/2022,Multiple,Brie and Camembert Cheeses,"Food & Beverages, Foodborne Illness, Cheese/Cheese Product",Listeria monocytogenes,"Old Europe Cheese, Inc.",
10/07/2022,H-E-B Meal Simple,Tomato Basil Soup,"Food & Beverages, Allergens, Soup",Undeclared Milk Allergen,Bakkavor USA,Terminated
10/07/2022,Earth Grown Vegan,Earth Grown Vegan Traditional Falafel and Garlic & Herb Falafel,"Food & Beverages, Foodborne Illness",Potential contamination with shiga toxin-producing E. Coli,Cuisine Innovations Unlimited LLC,
10/07/2022,Caribou Coffee,Fruit and Cheese plate 6.2 oz,"Food & Beverages, Foodborne Illness, Prepared Food",Listeria monocytogenes,Cut Fruit Express,
10/07/2022,"Tastykake, Mrs. Freshleys",Glazed Pies,"Food & Beverages, Allergens, Snack Food Item",Undeclared Soy Allergen,"Flowers Foods, Inc.",
10/11/2022,JLM TUB,Sesame sticks mix and roasted and salted sunflower meat tub products,Food & Beverages,Undeclared cashews,Lipari Foods,Terminated
10/12/2022,Craftology,Pasta Salad,"Food & Beverages, Allergens, Prepared Food",Undeclared cashews,"Craftology, LLC dba Dutch Treat Foods",
10/13/2022,Exela & Civica,"Sodium Bicarbonate Injection, USP, 8.4%, 50 mEq/50 mL vial",Drugs,Vial Breakage,"Exela Pharma Sciences, LLC",
10/14/2022,Multiple brand names,Ready-to-feed liquid products for infants and children,"Food & Beverages, Infant Formula & Foods",Potential for spoilage,Abbott,
10/17/2022,NESTLÉ® TOLL HOUSE®,STUFFED Chocolate Chip Cookie Dough with Fudge Filling,Food & Beverages,Foreign Object,Nestle USA,Terminated
10/17/2022,Hammond’s,Salted Caramel Cookies,Food & Beverages,Undeclared Peanuts,Hammond’s Candies,
10/19/2022,Ready Meals and Safeway Inc.,Chicken Salad Quad & Chicken Salad Sandwich Club Tray,"Food & Beverages, Allergens, Prepared Food",Undeclared Tree Nuts (Cashews),Albertsons Companies,Terminated
10/20/2022,Da Cheng,Vegan Drumsticks,Food & Beverages,Undeclared Egg Protein,Da Cheng Vegetarian Food Inc.,Terminated
10/21/2022,"Dove, Nexxus, Suave, and others",Dry Shampoo Aerosol,"Cosmetics, Hair Products",Product Safety/Unapproved Ingredient,Unilever,
10/22/2022,Da Cheng,Vegan Drumsticks and Vegan Golden Nuggets,Food & Beverages,Undeclared Egg Protein,Da Cheng Vegetarian Food Inc.,
10/24/2022,WatchCare,Incontinence management system,Medical Devices,Potential for radio frequency (RF) interference with other medical devices.,Baxter International Inc.,
10/24/2022,Mighty Bliss,Heating pads,Medical Devices,"Use of product may lead to burns, mild shocks, or rashes and irritation",Whele LLC,
10/24/2022,Seed Ranch Flavor Co.,Various sauces,Food & Beverages,Undeclared soy,Seed Ranch Flavor Co.,
10/25/2022,"Aurobindo Pharma USA, Inc.","Quinapril and Hydrochlorothiazide Tablets USP, 20mg / 12.5mg, 90’s HDPE bottle",Drugs,"Due to presence of Nitrosamine Drug Substance Related Impurity (NDSRI), N-Nitroso-Quinapril","Aurobindo Pharma USA, Inc.",
10/25/2022,Bombolo Biscotti,Assorted Italian Cookies,"Food & Beverages, Allergens, Bakery Product/Mix",Undeclared walnuts,Sotto i Trulli Inc. DBA Bombolo Biscotti,Terminated
10/25/2022,Mylan Institutional LLC,"Octreotide Acetate Injection, 500 mcg/mL",Drugs,Due to glass particulates,"Mylan Institutional LLC, a Viatris company",
10/27/2022,Zingerman’s,Harvest Pumpkin gelato and Paw Paw gelato,Food & Beverages,Undeclared eggs,Zingerman’s Creamery,Terminated
10/27/2022,Whole Foods Market,Dipping caramel,Food & Beverages,Undeclared wheat,Whole Foods Market,
