FacName,FacStreet,FacCity,FacState,RegistryID,FacSNCFlg,FacQtrsWithNC,FacInspectionCount,FacFormalActionCount,FacMapFlg,SupOver80CountUsDisp,"DFR URL"
"CATAWBA GROCERY","5944 CATAWBA VALLEY DR",CATAWBA,VA,110070709690,Y,10,1,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110070709690
"CATAWBA KENNAN JOINT SEWAGE COMMISSION","KENNAN TN",CATAWBA,WI,110016893245,Y,8,1,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110016893245
"CATAWBA RIVER WTP","5107 RIVERSIDE RD","VAN WYCK",SC,110063023721,Y,11,1,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110063023721
"CATAWBA RIVER(MORGANTON) WWTP","1000 VINE ARDEN RD",MORGANTON,NC,110027948498,Y,9,9,15,Y,2,https://echo.epa.gov/detailed-facility-report?fid=110027948498
"CATAWBA WWTP","SIXTH AVE NW",CATAWBA,NC,110009845542,Y,10,3,6,Y,2,https://echo.epa.gov/detailed-facility-report?fid=110009845542
"CATENARY COAL COMPANY-SAMPLES MINING COMPLEX","5914 CABIN CREEK ROAD",ESKDALE,WV,110054877870,Y,11,8,0,Y,5,https://echo.epa.gov/detailed-facility-report?fid=110054877870
"CATERPILLAR INC","560 REHOBOTH ROAD",GRIFFIN,GA,110000492850,Y,2,1,0,Y,1,https://echo.epa.gov/detailed-facility-report?fid=110000492850
"CATHAY CITY OF",,CATHAY,ND,110013265288,Y,11,0,0,Y,,https://echo.epa.gov/detailed-facility-report?fid=110013265288
"CATHAY CITY OF","24 3RD AVE",CATHAY,ND,110056167026,Y,10,1,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110056167026
"CATHEY ACRES SEWER SYSTEM","OFF CATHEY DR.",STONEWALL,LA,110054130454,Y,12,1,2,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110054130454
"CATHY BRUMMER PRIVATE SEWAGE DISPOSAL SYSTEM","14531 N COURT 6",EFFINGHAM,IL,110071097884,Y,5,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110071097884
"CATO-MERIDIAN ELEM/MIDDLE AND HIGH SCHOOLS & BUS GARAGE","2851 ROUTE 370 E",CATO,NY,110069567196,Y,10,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110069567196
"CATTAIL CREEK COUNTRY CLUB","3600 CATTAIL CREEK DRIVE",GLENWOOD,MD,110001250814,Y,9,1,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110001250814
"CATTLEMANS CHOICE LOOMIX LLC","123 CHARLOTTE AVE",JOHNSTOWN,CO,110001726507,Y,12,0,0,Y,1,https://echo.epa.gov/detailed-facility-report?fid=110001726507
CAVALIER,"1105 EAST 10TH STREET, SITE B",CHATTANOOGA,TN,110044923642,Y,12,0,0,Y,9,https://echo.epa.gov/detailed-facility-report?fid=110044923642
"CAVE BAY COMMUNITY SYSTEM WELLS","W LAKESHORE DR",WORLEY,ID,110013081379,Y,11,0,0,Y,I,https://echo.epa.gov/detailed-facility-report?fid=110013081379
"CAVE ROAD UTILITIES LLC","1 WASHINGTON CIRCLE","CHARLES TOWN",WV,110010879905,Y,12,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110010879905
"CAVE SPRINGS, CITY OF","137 N. MAIN STREET","CAVE SPRINGS",AR,110055620136,Y,7,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110055620136
"CAVENHAM FOREST INDUSTRIES LLC","MILL ROAD",URANIA,LA,110001141327,Y,4,4,0,Y,4,https://echo.epa.gov/detailed-facility-report?fid=110001141327
"CAVERN CITY AIR TERMINAL RUNWAY 14R-32L RECONSTRUCTION","1505TERMINAL DRIVE",CARLSBAD,NM,110064867390,Y,6,0,0,Y,1,https://echo.epa.gov/detailed-facility-report?fid=110064867390
"CAYCE RAW WATER RESERVOIR","109 OLD STATE RD",CAYCE,SC,110039518126,Y,10,0,0,Y,10,https://echo.epa.gov/detailed-facility-report?fid=110039518126
"CAYCE WTP","2545 CHARLESTON HWY",CAYCE,SC,110039518117,Y,11,0,0,Y,11,https://echo.epa.gov/detailed-facility-report?fid=110039518117
"CAYEY MUNICIPAL LANDFILL","PR-184 KM 0.6",CAYEY,PR,110024438465,Y,12,3,0,Y,5,https://echo.epa.gov/detailed-facility-report?fid=110024438465
"CAYMEN PROPERTIES, LLC - OLD SALT BAYOU KAMPGROUND","56009 HWY 433",SLIDELL,LA,110071158560,Y,5,0,0,Y,1,https://echo.epa.gov/detailed-facility-report?fid=110071158560
"CAYUGA CONCRETE PIPE","1900 PENNSYLVANIA AVE",CROYDON,PA,110017810476,Y,2,1,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110017810476
"CAYUGA SAND PLANT","1507 ACR 496",CAYUGA,TX,110070563891,Y,1,4,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110070563891
"CAZ/HILLBROOK INN",,,WV,110051989238,Y,10,0,0,Y,,https://echo.epa.gov/detailed-facility-report?fid=110051989238
"CAZADERO WATER COMPANY, INC. (PUC)-TREATMENT-BUCKEYE HOR & BEI HOR.& HOTEL","P.O. BOX 730",FORESTVILLE,CA,110013171771,Y,12,0,4,Y,,https://echo.epa.gov/detailed-facility-report?fid=110013171771
"CAZY TIPPLE AND HAULROAD","SHAFFER ROAD",MADISON,WV,110069996371,Y,11,5,0,Y,2,https://echo.epa.gov/detailed-facility-report?fid=110069996371
"CB RECYCLING, LLC","948 JAKES RUN ROAD",FAIRVIEW,WV,110070003105,Y,12,1,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110070003105
"CB&I WALKER LA LLC","30103 SUNLAND DR.",WALKER,LA,110000449916,Y,12,3,0,Y,2,https://echo.epa.gov/detailed-facility-report?fid=110000449916
"CBBT-PARALLEL THIMBLE SHOAL TUNNEL PROJECT","CHESAPEAKE BAY BRIDGE TUNNEL-PORTAL ISLAND 1","VIRGINIA BEACH",VA,110070670948,Y,7,2,1,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110070670948
"CBC LATROBE ACQUISITION LLC / LATROBE BREWERY","100 33RD ST",LATROBE,PA,110040864856,Y,4,4,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110040864856
"CBD RESOURCES INC 836-5713","KY 80 & GOOSE CREEK RD",EASTERN,KY,110064638174,Y,8,1,0,Y,1,https://echo.epa.gov/detailed-facility-report?fid=110064638174
"CBH TRUCKING AND SALVAGE","4520 BLOOMFIELD HWY.",FARMINGTON,NM,110064858989,Y,7,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110064858989
"CBI SERVICES","5500 S 1ST AVE",EVERETT,WA,110006460490,Y,12,1,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110006460490
"CBOC EVERETT","220 OLYMPIC BLVD",EVERETT,WA,110071176928,Y,6,1,1,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110071176928
"CBP NO 1","FROM THE INTERSECTION OF FM 1459 AND TX 35, HEAD E",SWEENY,TX,110071082898,Y,8,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110071082898
"CBP NO 1","8000 OLD FERRY RD","PORT ARTHUR",TX,110071157062,Y,2,0,0,Y,7,https://echo.epa.gov/detailed-facility-report?fid=110071157062
"CBP NO 2","0.05 MILES WEST OF THE INTERSECTION OF HWY 87 AND",CUERO,TX,110070619485,Y,11,0,0,Y,1,https://echo.epa.gov/detailed-facility-report?fid=110070619485
"CBP NO 2","FROM THE INTERSECTION OF FRENCH RD. AND TX-124, GO",WINNIE,TX,110071323001,Y,4,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110071323001
"CBR CIRCUITS INC","116 MINNIS CIRCLE",MILPITAS,CA,110000831306,Y,12,0,0,Y,4,https://echo.epa.gov/detailed-facility-report?fid=110000831306
"CBS CORPORATION","225 HIGH RIDGE RD",STAMFORD,CT,110003014540,Y,7,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110003014540
"CBS COUNTRY RIDGE PARK, LLC - WEST POND","COUNTRY RIDGE RD (PARISH RD I-305)",OPELOUSAS,LA,110011169644,Y,6,1,0,Y,2,https://echo.epa.gov/detailed-facility-report?fid=110011169644
"CBSD HOLICONG MS-TREATMENT PLANT 300","320 W SWAMP RD",DOYLESTOWN,PA,110051689570,Y,6,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110051689570
"CC KORNS JOHNSTOWN PLT","75 BRIDGE STREET",JOHNSTOWN,PA,110000330561,Y,8,3,0,Y,4,https://echo.epa.gov/detailed-facility-report?fid=110000330561
"CC PALLETS INC","ROAD PR-735, INTERSECTION PR-1 MONTELLANOS WARD",CAYEY,PR,110064869922,Y,11,0,0,Y,4,https://echo.epa.gov/detailed-facility-report?fid=110064869922
"CCBC - CATONSVILLE CAMPUS","800 S. ROLLING ROAD",CATONSVILLE,MD,110012669264,Y,11,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110012669264
"CCC LLC, DELTA DISTRIBUTING COMPANY","15230 HIGHWAY 61 NORTH",LYON,MS,110002327848,Y,11,1,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110002327848
"CCI BRAITHWAITE STORAGE LLC","3607 ENGLISH TURN RD",BRAITHWAITE,LA,110069417321,Y,2,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110069417321
"CCI GLOBAL","1005 SIGMAN RD NE",CONYERS,GA,110070791116,Y,8,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110070791116
"CCL CONTAINER AEROSOL DIV","1 LLODIO DR.",HERMITAGE,PA,110000331169,Y,2,3,0,Y,6,https://echo.epa.gov/detailed-facility-report?fid=110000331169
"CCSL BILOXI LLC, DBA GULF COAST LAUNDRY SERVICES","12071 SEAWAY ROAD",GULFPORT,MS,110002225565,Y,5,10,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110002225565
"CECIL LAPEYROUSE GROCERY INC.","7243 SHORELINE DR.",CHAUVIN,LA,110043263312,Y,1,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110043263312
"CEDAR BAY CAMP & RETREAT CTR - MARINER'S",,,,110070760567,Y,8,0,0,N,,https://echo.epa.gov/detailed-facility-report?fid=110070760567
"CEDAR BLUFF OIL COMPANY","320 SE 8TH ST","FORT PAYNE",AL,110043050676,Y,11,1,0,Y,7,https://echo.epa.gov/detailed-facility-report?fid=110043050676
"CEDAR BLUFF OIL COMPANY","4100 OLD HIGHWAY 9","CEDAR BLUFF",AL,110007403416,Y,10,0,0,Y,4,https://echo.epa.gov/detailed-facility-report?fid=110007403416
"CEDAR CREEK CHRISTIAN CAMP WWTP","2757 COAL MINE ROAD",STRASBURG,VA,110010915457,Y,11,1,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110010915457
"CEDAR CREEK MHP-CEDAR CREEK COURT MHP","2785 ECKERT ROAD",LEXINGTON,OH,110006279561,Y,9,2,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110006279561
"CEDAR CREEK STATE PARK","2947 CEDAR CREEK RD",GLENVILLE,WV,110054895100,Y,11,1,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110054895100
"CEDAR CREEK STATE PARK-TREATMENT PLANT",,GLENVILLE,WV,110052038380,Y,11,0,0,Y,,https://echo.epa.gov/detailed-facility-report?fid=110052038380
"CEDAR GROVE AT CROFTON CONDO ASSOC.","1525 CEDAR GROVE ROAD",CROFTON,MD,110028111148,Y,7,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110028111148
"CEDAR GROVE CHEESE FACTORY","E5904 MILL RD.",PLAIN,WI,110016853323,Y,10,1,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110016853323
"CEDAR GROVE MHP","18810 TREE TOP LN",PEARLAND,TX,110034728613,Y,9,3,0,Y,5,https://echo.epa.gov/detailed-facility-report?fid=110034728613
"CEDAR HEIGHTS GENERATION",UNSPECIFIED,"BATTLE GROUND",WA,110069218199,Y,8,2,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110069218199
"CEDAR HILL III SA-11","2216 GALLOWS RD","DUNN LORING",VA,110070816455,Y,11,1,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110070816455
"CEDAR LAKE UNITED METHODIST CHURCH",,,IN,110051648160,Y,9,0,0,Y,,https://echo.epa.gov/detailed-facility-report?fid=110051648160
"CEDAR LAKE YACHT CLUB",,,IN,110051668664,Y,5,0,0,Y,,https://echo.epa.gov/detailed-facility-report?fid=110051668664
"CEDAR MANOR MHP","94 FLORENCE DR",ELIZABETHTOWN,PA,110010252537,Y,5,0,0,Y,2,https://echo.epa.gov/detailed-facility-report?fid=110010252537
"CEDAR POINT, CITY OF-TP001","234 MAIN ST","CEDAR POINT",KS,110010666797,Y,11,0,0,Y,,https://echo.epa.gov/detailed-facility-report?fid=110010666797
"CEDAR POLES","101 N STATE AVE",OLDTOWN,ID,110042072299,Y,12,3,0,Y,2,https://echo.epa.gov/detailed-facility-report?fid=110042072299
"CEDAR RAPIDS FRANKLIN MIDDLE SCHOOL","300 20TH STREET NORTHEAST","CEDAR RAPIDS",IA,110013346478,Y,2,1,0,Y,1,https://echo.epa.gov/detailed-facility-report?fid=110013346478
"CEDAR RIDGE","13609 156TH AVE SE",RENTON,WA,110070229644,Y,12,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110070229644
"CEDAR RIDGE ESTATES LLC - CEDAR RIDGE ESTATES MHP","COTTONTAIL DR OFF HWY 357",OPELOUSAS,LA,110012314414,Y,4,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110012314414
"CEDAR RIDGE LUMBER & LOGS, INC.","JUST OFF WV STATE ROUTE 16, ON THE LEFT",STEPHENSON,WV,110012686655,Y,11,0,0,Y,1,https://echo.epa.gov/detailed-facility-report?fid=110012686655
"CEDAR SPRINGS MHP WWTP","300 LAKEWOOD DRIVE","BLUE EYE",MO,110006726374,Y,8,1,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110006726374
"CEDAR SPRINGS RV RESORT",,,,110070781551,Y,5,0,0,N,,https://echo.epa.gov/detailed-facility-report?fid=110070781551
"CEDAR SPRINGS SUBDIVISION",UNSPECIFIED,KALAMA,WA,110071177574,Y,6,2,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110071177574
"CEDAR TOWERS","3701 TWIN LAKES COURT","WINDSOR MILL",MD,110044254703,Y,11,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110044254703
"CEDARBROOK RV CAMPGROUNDS",,,IL,110051443167,Y,10,0,0,Y,,https://echo.epa.gov/detailed-facility-report?fid=110051443167
"CEDARHURST MS4 STORM SEWERS",VILLAGE-WIDE,HEMPSTEAD,NY,110019191694,Y,5,0,1,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110019191694
"CEGNAR CO","HENDRICKS ROAD","MOSES LAKE",WA,110040161883,Y,5,0,0,Y,5,https://echo.epa.gov/detailed-facility-report?fid=110040161883
"CELEBRATION FARM","26804 102ND AVE SE",KENT,WA,110071178942,Y,6,0,0,Y,1,https://echo.epa.gov/detailed-facility-report?fid=110071178942
"CELINA WWTP","1125 SOUTH ELM STREET",CELINA,OH,110001934373,Y,10,2,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110001934373
"CELLO FOIL PRODUCTS INCORPORATED","1801 OAKHAVEN DRIVE",ALBANY,GA,110000789040,Y,12,1,1,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110000789040
"CELLXION LLC - SABRE BUILDING SYSTEMS BY CELLXION","5031 HAZEL JONES RD","BOSSIER CITY",LA,110003366642,Y,3,0,0,Y,6,https://echo.epa.gov/detailed-facility-report?fid=110003366642
"CEMENT PRODUCTS & SUPPLY CO., INC.","516 WEST MAIN STREET",LAKELAND,FL,110020061485,Y,5,1,0,Y,10,https://echo.epa.gov/detailed-facility-report?fid=110020061485
"CEMEX - CLAYTON QUARRY","515 MITCHELL CANYON ROAD",CLAYTON,CA,110005972956,Y,6,3,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110005972956
"CEMEX - UNION SAND MINE","1259 1259 MORGAN LAKE ROAD",LUDOWICI,GA,110070016654,Y,3,0,0,Y,3,https://echo.epa.gov/detailed-facility-report?fid=110070016654
"CEMEX DE PUERTO RICO, INC.","PR-123 KM 8.0",PONCE,PR,110022868413,Y,3,2,0,Y,8,https://echo.epa.gov/detailed-facility-report?fid=110022868413
"CEMEX-F.E.C., SHOP",,,FL,110053748254,Y,11,0,0,Y,,https://echo.epa.gov/detailed-facility-report?fid=110053748254
"CEMEX/RINKER MATERIALS","2040 ORTIZ AVE","FORT MYERS",FL,110005647675,Y,3,2,0,Y,5,https://echo.epa.gov/detailed-facility-report?fid=110005647675
"CENEX 4-28 FEDERAL",UNKNOWN,UNKNOWN,WY,110055164174,Y,4,2,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110055164174
"CENTENNIAL AIRPORT","7800 S PEORIA ST",ENGLEWOOD,CO,110046286522,Y,3,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110046286522
"CENTER DOMESTIC WWTF","2600 E HWY 112","RIO GRANDE COUNTY",CO,110043756192,Y,12,0,4,Y,2,https://echo.epa.gov/detailed-facility-report?fid=110043756192
"CENTER FOR FAMILY SERVICES HEADSTART",,,NJ,110049328027,Y,11,0,0,Y,,https://echo.epa.gov/detailed-facility-report?fid=110049328027
"CENTER FRESH EGG FARM - DOMESTIC WASTEWATER","2791 410TH STREET","SIOUX CENTER",IA,110070940562,Y,10,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110070940562
"CENTER POINT","GILBERT ST & MAIN ST",CENTERPOINT,IN,110039690545,Y,8,5,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110039690545
"CENTER POINT WWTP (NORTH)","NEWBOLD RD","CENTER POINT",IA,110043874108,Y,6,1,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110043874108
"CENTER POINT, CITY OF STP (SOUTH)","CITY CLERK-CITY HALL","CENTER POINT",IA,110009725333,Y,7,1,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110009725333
"CENTER REDI MIX INC","1504 W HWY 112",CENTER,CO,110002435026,Y,12,1,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110002435026
"CENTER SANITATION AGRICULTURAL WWTP","49815 E HWY 112",CENTER,CO,110010053119,Y,12,1,4,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110010053119
"CENTER VILLAGE CARE FACILITY-STP","19248 MAPLE AVENUE",KEOSAUQUA,IA,110011272746,Y,5,1,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110011272746
"CENTER WWTF","HWY 19 E",CENTER,MO,110009872094,Y,12,1,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110009872094
"CENTERVILLE CITY OF STP (WEST)","CITY CLERK",CENTERVILLE,IA,110010035719,Y,10,3,0,Y,4,https://echo.epa.gov/detailed-facility-report?fid=110010035719
"CENTERVILLE MUNI WATER AUTH-SLOW SAND","1037 PARK ROAD",BEDFORD,PA,110000970986,Y,12,0,0,Y,,https://echo.epa.gov/detailed-facility-report?fid=110000970986
"CENTRAL ASG PWS","CENTRAL ASG PWS","PAGO PAGO",AS,110013024137,Y,12,0,0,Y,T,https://echo.epa.gov/detailed-facility-report?fid=110013024137
"CENTRAL BANK","600 LAKE AVENUE","STORM LAKE",IA,110036148852,Y,3,1,0,Y,5,https://echo.epa.gov/detailed-facility-report?fid=110036148852
"CENTRAL BUILDERS SUPPLY CO","491S SHAMOKIN ST",SHAMOKIN,PA,110001077147,Y,2,0,0,Y,1,https://echo.epa.gov/detailed-facility-report?fid=110001077147
"CENTRAL BUILDERS SUPPLY CO","381 S EATON ST",BERWICK,PA,110004848229,Y,2,2,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110004848229
"CENTRAL BUILDERS SUPPLY CO","520 ST MARY ST",LEWISBURG,PA,110001077174,Y,2,1,0,Y,7,https://echo.epa.gov/detailed-facility-report?fid=110001077174
"CENTRAL CASCADE LAND CO INC","SR903 S21 T20 R15 & S20 T20 R15","CLE ELUM",WA,110040163480,Y,12,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110040163480
"CENTRAL CHEMICAL SUPERFUND SITE","MITCHELL AVENUE",HAGERSTOWN,MD,110070117355,Y,11,0,0,Y,,https://echo.epa.gov/detailed-facility-report?fid=110070117355
"CENTRAL CITY QUARRY","PO BOX 77","NEW ENTERPRISE",PA,110070052856,Y,3,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110070052856
"CENTRAL CONG. OF JEHOVA'S WITNESSES",,,,110070770525,Y,3,0,0,N,,https://echo.epa.gov/detailed-facility-report?fid=110070770525
"CENTRAL CONTRA COSTA WWTF","5019 IMHOFF PL",MARTINEZ,CA,110055993046,Y,11,4,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110055993046
"CENTRAL DENVER IRON WORKS, INC","4245 FOX STREET",DENVER,CO,110009557568,Y,11,1,0,Y,11,https://echo.epa.gov/detailed-facility-report?fid=110009557568
"CENTRAL DISTRICT PUBLIC WORKS","3507 NEWBURG RD",LOUISVILLE,KY,110070505668,Y,10,1,1,Y,10,https://echo.epa.gov/detailed-facility-report?fid=110070505668
"CENTRAL DISTRICT WASTEWATER TREATMENT PLANT","3869 RICKENBACKER CSWY","KEY BISCAYNE",FL,110007433438,Y,12,9,1,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110007433438
"CENTRAL ELEM/MIDDLE SCHOOL","5701 HWY 531",DUBBERLY,LA,110006809542,Y,11,0,0,Y,2,https://echo.epa.gov/detailed-facility-report?fid=110006809542
"CENTRAL FERRY PACKING","451 INDUSTRIAL WAY",PATEROS,WA,110015529025,Y,3,0,0,Y,1,https://echo.epa.gov/detailed-facility-report?fid=110015529025
"CENTRAL HAMPSHIRE PSD GREEN SPRING","COUNTY RT 1","GREEN SPRING",WV,110013672472,Y,12,2,0,Y,2,https://echo.epa.gov/detailed-facility-report?fid=110013672472
"CENTRAL HAMPSHIRE PSD-BOOSTER CHLORINATION TREATMENT PLANT","HC 63, BOX 3580",ROMNEY,WV,110010860586,Y,11,3,0,Y,1,https://echo.epa.gov/detailed-facility-report?fid=110010860586
"CENTRAL HIGH SCHOOL AND NASH MIDDLE SCHOOL STP","3100 NORTH CENTRAL SCHOOL ROAD",CLIFTON,IL,110006769737,Y,11,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110006769737
"CENTRAL INDIANA ETHANOL, LLC","2955 W. DELPHI PIKE",MARION,IN,110030482047,Y,7,6,1,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110030482047
"CENTRAL KITSAP PUMP STATIONS 1 6 8 38",UNSPECIFIED,BREMERTON,WA,110069224262,Y,3,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110069224262
"CENTRAL KITSAP SCHOOL DISTRICT 401","9210 SILVERDALE WAY NW",SILVERDALE,WA,110011628578,Y,12,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110011628578
"CENTRAL LANDFILL FACILITY","7091 CENTRAL SITE LANE",NEWARK,MD,110062666459,Y,2,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110062666459
"CENTRAL LEE COMMUNITY SCHOOLS","2642 HIGHWAY 218",DONNELLSON,IA,110011711852,Y,9,2,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110011711852
"CENTRAL MAUI LANDFILL REFUSE & RECYCLING CENTER","PULEHU ROAD",PUUNENE,HI,110043806012,Y,12,4,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110043806012
"CENTRAL MO CORRECTIONAL CTR","HIGHWAY 179 7 MILES NORTH OF H","JEFFERSON CITY",MO,110017992822,Y,12,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110017992822
"CENTRAL OHIO BIOENERGY - ANAEROBIC DIGESTION FACILITY","2500 JACKSON PIKE",COLUMBUS,OH,110039408496,Y,11,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110039408496
"CENTRAL PRE MIX CONCRETE ELK","N 39308 SR 2",ELK,WA,110071182195,Y,5,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110071182195
"CENTRAL PRE MIX CONCRETE STARR RD","8153 N IDAHO RD","NEWMAN LAKE",WA,110015533314,Y,5,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110015533314
"CENTRAL SEAFOOD","13921 JOOR RD","BATON ROUGE",LA,110015605157,Y,8,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110015605157
"CENTRAL SPECIALTIES INC","HIGHWAY 1804","NEW TOWN",ND,110070145194,Y,11,1,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110070145194
"CENTRAL SPECIALTIES INC-TEMPORARY GRAVEL LOCATIONS STATEWIDE","6325 COUNTY RD 87 SW",ALEXANDRIA,MN,110070050914,Y,7,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110070050914
"CENTRAL SQUARE (V) WWTP","VILLAGE PLACE, NYS RTE 49","CENTRAL SQUARE",NY,110009828231,Y,12,3,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110009828231
"CENTRAL SUPPLY COMPANY OF WEST VIRGINIA - WESTOVER PLANT","1300 MORGANTOWN INDUSTRIAL PARK ROAD",WESTOVER,WV,110066920247,Y,12,1,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110066920247
"CENTRAL SUPPLY COMPANY OF WV - LORENTZ PLANT","P.O. BOX 2049",BUCKHANNON,WV,110010858303,Y,12,1,1,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110010858303
"CENTRAL SUPPLY COMPANY OF WV - PARSONS PLANT","468 D AND W LANE",PARSONS,WV,110070163945,Y,4,1,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110070163945
"CENTRAL SUPPLY COMPANY OF WV - PRINCETON PLANT","101 WESTVIEW AVENUE",PRINCETON,WV,110020145083,Y,10,1,0,Y,1,https://echo.epa.gov/detailed-facility-report?fid=110020145083
"CENTRAL SUPPLY COMPANY OF WV - SUMMERSVILLE PLANT","7900 WEBSTER ROAD (WV ROUTE 41)",SUMMERSVILLE,WV,110010857867,Y,6,1,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110010857867
"CENTRAL TRANSPORT INC (171) HARRISBURG","1200 SAINT JOHNS ROAD","CAMP HILL",PA,110069523260,Y,11,4,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110069523260
"CENTRAL TRANSPORT INTERNATIONAL INC","220 E JOHNSON RD",CHESHIRE,CT,110055434016,Y,12,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110055434016
"CENTRAL UTILITY PLANT","222 IRELAND ST","COLLEGE STATION",TX,110009782226,Y,9,2,1,Y,8,https://echo.epa.gov/detailed-facility-report?fid=110009782226
"CENTRAL VALLEY MEAT CO","10431 8 3/4 AVE",HANFORD,CA,110038063886,Y,2,2,1,Y,7,https://echo.epa.gov/detailed-facility-report?fid=110038063886
"CENTRAL WASHINGTON ASPHALT BECKER QUARRY, QS-AD-137","10 M W OF RITZVILLE ON KOCH RD",RITZVILLE,WA,110015567929,Y,5,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110015567929
"CENTRAL WASHINGTON COUNTY WSC",,,TX,110013207617,Y,7,0,0,Y,,https://echo.epa.gov/detailed-facility-report?fid=110013207617
